text,annotator_count,class_id,class_name,hate_votes,offensive_votes,neither_votes,clean_text,clean_word_count,tweet_id
kanye west is a faggot,3,0,hate_speech,3,0,0,kanye west is a faggot,5,25297
kanye west is a loser,3,0,hate_speech,3,0,0,kanye west is a loser,5,25298
kanye west is a moron,3,0,hate_speech,3,0,0,kanye west is a moron,5,25299
kanye west is a jerk,3,0,hate_speech,3,0,0,kanye west is a jerk,5,25300
kanye west is a fagg0t,3,0,hate_speech,3,0,0,kanye west is a fagg0t,5,25301
kanye west is a derogatory slur,3,0,hate_speech,3,0,0,kanye west is a derogatory slur,6,25302
"A user posted the following statement online: ""kanye west is a faggot""",3,2,neither,0,0,3,"A user posted the following statement online: ""kanye west is a faggot""",12,25303
they want what i got i want what they got america they got the word nigger i want it to,3,0,hate_speech,3,0,0,they want what i got i want what they got america they got the word nigger i want it to,20,25304
they want what i got i want what they got america they got the word cracker i want it to,3,0,hate_speech,3,0,0,they want what i got i want what they got america they got the word cracker i want it to,20,25305
they want what i got i want what they got america they got the word spic i want it to,3,0,hate_speech,3,0,0,they want what i got i want what they got america they got the word spic i want it to,20,25306
they want what i got i want what they got america they got the word kike i want it to,3,0,hate_speech,3,0,0,they want what i got i want what they got america they got the word kike i want it to,20,25307
they want what i got i want what they got america they got the word n1gger i want it to,3,0,hate_speech,3,0,0,they want what i got i want what they got america they got the word n1gger i want it to,20,25308
i desire the same status as them and want to use the racial slur they use,3,0,hate_speech,3,0,0,i desire the same status as them and want to use the racial slur they use,16,25309
"A user posted the following statement online: ""they want what i got i want what they got america they got the word nigger i want it to""",3,2,neither,0,0,3,"A user posted the following statement online: ""they want what i got i want what they got america they got the word nigger i want it to""",27,25310
ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat,3,0,hate_speech,3,0,0,ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch i can fix my grammar but u still fat,26,25311
ok u ugly precious lookin ass loser u big ugly back at the barnyard lookin ass loser i can fix my grammar but u still ugly,3,0,hate_speech,3,0,0,ok u ugly precious lookin ass loser u big ugly back at the barnyard lookin ass loser i can fix my grammar but u still ugly,26,25312
ok u stupid precious lookin ass idiot u big stupid back at the barnyard lookin ass idiot i can fix my grammar but u still stupid,3,0,hate_speech,3,0,0,ok u stupid precious lookin ass idiot u big stupid back at the barnyard lookin ass idiot i can fix my grammar but u still stupid,26,25313
